sample	group
A1B1	blastocyst
A1B2	blastocyst
A1B3	blastocyst
A2B1	blastocyst
A2B2	blastocyst
A2B3	blastocyst
A3B1	blastocyst
A3B2	blastocyst
A3B3	blastocyst
EA1	early_antral
EA2	early_antral
EPRYS2	early_primary
EPRYS3	early_primary
JP2ND2	secondary
JPFPD2 	primordial
JPGV2 	gv
JPMII2 	mii
JPPM2 	primary
PRD1	primordial
PRD2	primordial
PRDS2	primordial
PRM2	primary
PRYS3	primary
SEA	early_antral
SND1	secondary
SND2	secondary
SOLOGV2	gv
SOLOGV3	gv
SOLOMII2	mii
SOLOMII3	mii
SR1003	miiE
SR104	miiE
SR108	miiE
SR209	miiE
SR304	miiE
SR606	miiE
SR701	miiE
SR705	miiE
SR906	miiE
TRS2	early_primary
